target,BCAA_biosynthesis,BCAA_transport,Cellulose_binding,Fatty_acid_utilization,Fatty_acid_utilization_acyl,Glycan_utilization,LPS_biosynthesis,LPS_transport,Phenylalanine_biosynthesis,PTS,Purine_Metabolism,Secretion_System_typeII,Secretion_System_typeIII,Secretion_System_typeIV
control,0.057005396960659,0.061567959096719214,2.307910808123846e-4,0.00474009373668513,0,0.3830776878284335,0.016350660417554324,4.615821616247692e-4,0.09402073569095298,0.37446740519812527,1.7753160062491125e-5,0.0073320551058088336,0,7.27879562562136e-4
hyper,0.07322520490914611,0.030573745609089726,2.3851858276594822e-4,9.540743310637929e-4,0,0.6864781647079231,0.004987206730560735,2.168350752417711e-4,0.08463072986686326,0.11724272518322564,0,0.0011492258987813868,0,3.0356910533847954e-4
hyper,0.060893613343704085,0.02679111572033532,0,0.0021432892576268257,0,0.7017371013741249,0.007069397632011062,1.3827672629850487e-4,0.08841068187710656,0.10967072854550168,0,0.0021260046668395128,0,0.0010197908564514736
control,0.057117820441328765,0.05994582968214769,1.9915558033936112e-5,2.190711383732972e-4,0,0.40830877081175815,0.01244722377121007,5.974667410180833e-5,0.08139488568469688,0.37984943838126345,0,3.5848004461085e-4,0,2.7881781247510553e-4
hyper,0.06068976834504827,0.06862128381150344,6.56401279982496e-4,0.0020512539999453,0,0.44438366654814976,0.011979323359680551,2.32475453327134e-4,0.06892213439816208,0.33888083581762984,0,0.003323031479911386,0,2.5982550665973797e-4
hyper,0.05344612274024738,0.03572490485252141,0,0.013038177925784968,0,0.26987690294957184,0.018836227402473836,0.0019178163653663179,0.06351094196003806,0.52082837773549,0,0.022106921979067554,0,7.136060894386299e-4
hyper,0.05453638027253066,0.05193508870101783,3.47847128748809e-4,0.012522496634957124,0,0.4245549825320246,0.011342841154852467,5.293325872264484e-4,0.07035586273649824,0.3620937372393037,0,0.011509202825123637,0,2.722281877164592e-4
hyper,0.06427470342485646,0.03494113178883403,4.4681754205670113e-5,0.0016755657827126293,0,0.3947186166528898,0.02381537499162217,6.702263130850517e-4,0.08956457630526575,0.3876365586112911,0,0.0021447242018721654,0,5.138401733652063e-4
control,0.06504579798235617,0.04085939808366046,2.32155670929889e-4,2.1105060993626272e-4,0,0.6026339116120045,0.012050989827360602,1.0552530496813136e-4,0.08560212739014816,0.19275252205478874,0,3.5878603689164663e-4,0,1.477354269553839e-4
control,0.04524444909563428,0.05147122948389235,0,0.003854673573683568,1.7441961871871348e-5,0.31269949243890954,0.012575654509619241,5.407008180280118e-4,0.06936668236443236,0.4970087035389741,0,0.00673259728254234,0,4.883749324123977e-4
hyper,0.047809251377939024,0.03420428382055397,1.0465359659526966e-4,1.744226609921161e-4,1.7442266099211608e-5,0.45248726714574755,0.01505267564361962,6.976906439684643e-5,0.0835135700830252,0.3651015139886974,0,3.314030558850206e-4,1.7442266099211608e-5,0.001116305030349543
control,0.03586331066532037,0.06395299327258792,4.987773871364096e-4,0.02356419021666403,0,0.3459446965365385,0.01989026897482999,1.5814892762861766e-4,0.0389289668008905,0.46057833846303575,0,0.010291845597985426,0,3.2846315738251357e-4
hyper,0.05889212827988338,0.1132923010474031,7.558578987150416e-4,8.638375985314761e-5,0,0.4109275456214232,0.017687074829931974,1.511715797430083e-4,0.08923442392830148,0.3078285282366915,0,4.967066191555987e-4,0,6.478781988986071e-4
hyper,0.012261502320517963,0.061593995301667336,0,5.061212017036231e-4,0,0.6823373250062071,0.0019576386103630702,6.684619645142192e-5,0.13535399835749345,0.1054928474569797,0,4.106266353444489e-4,0,1.909891327183483e-5
hyper,0.041087863716915335,0.09683873549419768,3.429943405933802e-4,0.002186588921282799,0,0.2991053564282856,0.008803521408563426,2.0008003201280514e-4,0.06545475332990339,0.4842079689018465,0,0.0015577659635282685,0,2.1437146287086264e-4
control,0.03967965996267883,0.020708065519386275,0,6.479369686916857e-5,0,0.6127928675098486,0.002941633837860253,1.2958739373833714e-5,0.1178078996475223,0.20594028612896537,0,1.2958739373833714e-5,0,3.887621812150114e-5
hyper,0.020719551813966588,0.07886505134626796,1.0058034861148828e-5,0.015429025477002303,0,0.37252949518723033,0.0038321112820977037,3.620892550013578e-4,0.09602405881938787,0.3889844402200698,0,0.023123422145781156,0,1.2069641833378594e-4
