target,Prevotella,Faecalibacterium,Klebsiella,Roseburia,Bifidobacterium,Enterobacter,Clostridium,Oscillibacter,Azospirillum,Akkermansia,Ruminococcus,Subdoligranulum,Bilophila,Blautia,Lachnoclostridium,Actinomyces,Desulfovibrio,Coprococcus,Butyricicoccus,Anaerotruncus,Streptococcus,Eggerthella,Acidaminococcus,Butyrivibrio,Flavonifractor,Pyramidobacter,Veillonella,Acidiphilium,Dorea,Ruminiclostridium,Intestinimonas,Peptoclostridium,Coprobacillus,Porphyromonas,Pseudoflavonifractor,Paenibacillus,Holdemania,Tyzzerella,Marvinbryantia,Enterococcus,Oribacterium,Treponema,Robinsoniella
control,0.002558482,0.049730168,0.029316546,0.010471307,9.44012e-4,3.72228e-4,0.020539262,0.013980254,7.03e-6,1.03e-5,0.010873404,0.001781,0.004803576,0.001247429,0.004147756,1.04e-5,1.31086e-4,3.35785e-4,4.0609e-4,5.70956e-4,8.07e-5,2.4089e-4,4.92202e-4,2.13764e-4,0.001491355,7.22e-5,2.24519e-4,2.54e-5,4.69751e-4,5.88036e-4,5.7021e-4,4.29506e-4,4.38e-5,2.92394e-4,5.02968e-4,2.19135e-4,2.01898e-4,1.53886e-4,7.62e-5,8.96e-5,2.0048e-4,1.03958e-4,5.82e-5
hyper,0.00468556,0.001739394,3.87269e-4,5.79685e-4,1.22683e-4,1.57e-5,0.004628923,0.001747843,1.98e-6,2.79e-6,8.25123e-4,0.004465937,0.010820626,0.001562767,0.018018709,0.002111793,1.85433e-4,1.82471e-4,0.002781888,3.22422e-4,6.64e-5,0.013366763,4.15e-5,1.45e-5,0.006191592,2.38626e-4,1.91188e-4,6.85e-7,7.14938e-4,3.02372e-4,8.41e-5,6.99877e-4,9.25e-6,4.04031e-4,2.12242e-4,1.23479e-4,1.00205e-4,2.51118e-4,9.44e-5,6.33e-5,3.86e-5,8.18e-5,2.79e-5
control,0.016839385,0.090949601,2.73071e-4,0.138342247,0.033073238,4.03e-6,0.016823379,0.001242983,1.43e-6,1.07314e-4,0.00352943,0.01767809,1.65252e-4,0.017641484,0.00576533,0.00122331,1.35013e-4,8.03766e-4,2.99855e-4,5.09837e-4,3.47859e-4,1.45126e-4,1.93e-5,0.001020761,0.010198858,1.74e-5,0.005372603,1.93e-5,0.001443926,0.001044749,0.002025408,0.002732502,1.53448e-4,1.84e-5,7.31927e-4,2.92042e-4,1.02225e-4,6.61721e-4,3.51829e-4,1.00618e-4,2.18215e-4,6.91e-5,2.31634e-4
control,0.00893218,0.098305871,4.57e-5,0.007086611,0.001093159,5.81e-6,0.01957436,0.001805688,7.6e-6,1.04e-5,0.001208586,0.002748746,0.007242561,0.001942995,0.003944248,1.75e-5,8.76e-5,3.50414e-4,0.001217208,3.95852e-4,4.24e-5,3.92631e-4,1.1884e-4,2.49747e-4,5.5835e-4,1.85e-5,3.74001e-4,4.72e-6,4.70995e-4,4.67725e-4,3.07085e-4,2.72773e-4,3.57e-5,3.64717e-4,4.63353e-4,1.18603e-4,2.43224e-4,1.61581e-4,1.89199e-4,1.11062e-4,2.37158e-4,8.42e-5,9.54e-5
control,0.001443511,0.405173004,6.14232e-4,0.001821277,0.018436374,0.031760995,0.018095617,0.00192875,6.44e-6,5.04e-7,0.002112732,0.001350831,7.37e-6,0.00243157,0.013381514,1.51462e-4,1.97e-5,5.56147e-4,0.00302202,7.81807e-4,1.069e-4,4.9605e-4,1.02e-5,2.34259e-4,0.001038077,1.0411e-4,1.01706e-4,1.2e-7,8.44421e-4,0.001103199,4.07208e-4,8.01886e-4,6.84e-5,1.75e-5,3.2318e-4,2.08614e-4,3.24368e-4,2.14877e-4,0.001247834,6.05e-5,5.36119e-4,2.8522e-4,4.84e-5
hyper,0.00701335,2.40532e-4,0.034192477,2.0905e-4,0.005010206,0.030975174,0.002071719,2.22844e-4,9.36e-7,1.68e-6,3.66671e-4,9.42321e-4,5.39089e-4,0.002792421,0.005168709,0.030582282,2.47996e-4,7.56e-5,3.8e-5,8.21e-5,2.27211e-4,6.67853e-4,3.23e-6,1.68e-5,0.001196077,6.33e-5,2.84731e-4,9.94e-8,1.2023e-4,7.58e-5,2.28e-5,6.86289e-4,1.36e-5,0.001485045,7.81e-5,4.93e-5,4.56e-5,3.40985e-4,2.57e-5,9.86e-5,5.58e-6,2.47e-5,3.46e-5
hyper,0.372708619,0.04205335,0.001143312,0.004381694,2.7515e-4,2.15e-5,0.01323518,0.02435121,2.2e-6,6.77e-5,0.012122088,0.003890934,0.004948292,6.91048e-4,0.002314646,2.72e-5,8.56021e-4,4.49816e-4,2.99937e-4,0.001149429,9.11e-5,8.6e-5,1.08356e-4,4.37201e-4,2.45133e-4,3.38689e-4,5.57e-5,1.86914e-4,3.06248e-4,0.001407168,6.62717e-4,3.10767e-4,5.79e-5,6.4888e-4,6.31426e-4,5.13225e-4,2.92067e-4,1.15173e-4,1.74901e-4,1.07838e-4,1.8138e-4,2.36235e-4,1.58665e-4
hyper,0.118527918,0.001832395,0.006540714,4.18171e-4,0.001548986,3.73687e-4,0.005901201,4.77274e-4,6.71e-6,3.07e-7,2.24655e-4,5.57e-5,2.00445e-4,2.4172e-4,0.001004017,5.46277e-4,1.14e-5,4.53e-5,0.008822086,4.13e-5,1.57e-5,2.54e-5,1.24e-5,3.2e-5,9.19e-5,3.42e-6,1.58e-5,2.97e-8,9.05e-5,4.36e-5,9.03e-5,1.3524e-4,1.01e-5,9.24e-5,1.71061e-4,1.93e-5,2.23e-5,3.97e-5,7.01e-6,9.13e-6,2.07e-5,7.5e-6,1.98e-6
control,0.003469038,0.189582601,3.24365e-4,0.0161257,0.003930369,3.36029e-4,0.021674167,0.001837456,2.56e-7,4.44e-6,0.00135098,0.001175024,9.48e-5,0.001607391,0.006858992,1.95e-5,1.08237e-4,3.24192e-4,0.002592653,5.47371e-4,1.29226e-4,8.73836e-4,1.13743e-4,2.91015e-4,0.003456924,7.32e-5,1.1591e-4,5.64e-6,4.76049e-4,6.05706e-4,6.10626e-4,0.001305144,2e-5,5.10365e-4,0.00106854,2.09421e-4,2.56798e-4,1.53006e-4,2.30686e-4,5.52e-5,4.36229e-4,1.10614e-4,5.57e-5
hyper,0.265444934,0.064267319,1.27e-5,0.040374777,1.72956e-4,6.9e-6,0.027248973,0.002767322,1.55144e-4,3.12e-6,0.002757412,0.001483084,9.42203e-4,0.003545902,0.00593327,1.8e-5,1.29e-5,9.13309e-4,1.77751e-4,7.49322e-4,1.88745e-4,1.73996e-4,2.49e-5,0.001325509,4.09784e-4,3.35e-5,6.02605e-4,3.75e-6,0.001262766,0.001196453,2.70444e-4,9.05866e-4,2.24794e-4,5.10608e-4,3.38699e-4,2.13492e-4,3.27802e-4,0.001108962,2.62235e-4,2.46692e-4,2.3647e-4,1.81036e-4,1.63565e-4
